Wall time,Step,Value
1515708922.3525505,25,0.5842400193214417
1515709041.5313692,50,0.6350799798965454
1515709158.2627578,75,0.6608399748802185
1515709275.1057434,100,0.6791599988937378
1515709395.4480596,125,0.7016000151634216
1515709571.162601,150,0.7125200033187866
1515709689.9875455,175,0.7282400131225586
1515709813.607049,200,0.735480010509491
1515709941.5687249,225,0.7494400143623352
1515710063.1113446,250,0.7573999762535095
1515710240.833779,275,0.7576000094413757
1515710359.9300241,300,0.7730799913406372
1515710482.7508824,325,0.7765600085258484
1515710605.1867256,350,0.7839599847793579
1515710725.7269478,375,0.7947999835014343
1515710904.5629334,400,0.8010799884796143
1515711022.7859266,425,0.8041200041770935
1515711142.085493,450,0.8111199736595154
1515711262.5080364,475,0.8209199905395508
1515711381.8788908,500,0.817359983921051
1515711559.1211333,525,0.8270400166511536
1515711677.7637467,550,0.834119975566864
1515711796.5073097,575,0.8370800018310547
1515711914.3105664,600,0.8379200100898743
1515712034.474785,625,0.8403199911117554
1515712210.7107778,650,0.8461199998855591
1515712328.7357903,675,0.8424000144004822
1515712447.027548,700,0.8406000137329102
1515712565.4738185,725,0.8485199809074402
1515712683.3939352,750,0.8515599966049194
1515712859.1975005,775,0.855400025844574
1515712976.7539837,800,0.8546000123023987
1515713094.5183926,825,0.8539199829101562
1515713212.2522771,850,0.8579199910163879
1515713330.1833847,875,0.8632000088691711
1515713506.0673401,900,0.8641999959945679
1515713624.0081224,925,0.8540800213813782
1515713741.7646394,950,0.8646000027656555
1515713859.942843,975,0.866919994354248
1515713978.386902,1000,0.871720016002655
1515714154.5391996,1025,0.869159996509552
1515714272.6325016,1050,0.8691999912261963
1515714390.8337753,1075,0.8721200227737427
1515714508.4973881,1100,0.8638399839401245
1515714627.2646842,1125,0.8628399968147278
1515714803.8537078,1150,0.8689200282096863
1515714922.723654,1175,0.8782399892807007
1515715041.4402673,1200,0.8803600072860718
1515715160.164226,1225,0.8762800097465515
1515715279.0901666,1250,0.88264000415802
