Wall time,Step,Value
1515657991.2012272,25,0.5163599848747253
1515658107.2240806,50,0.5750799775123596
1515658223.408942,75,0.6187199950218201
1515658339.4289103,100,0.6821600198745728
1515658455.5955448,125,0.7413600087165833
1515658627.7943854,150,0.7705199718475342
1515658743.754216,175,0.7907999753952026
1515658859.507088,200,0.7896000146865845
1515658975.6889641,225,0.8144800066947937
1515659091.1127028,250,0.8235200047492981
1515659263.426093,275,0.8367199897766113
1515659379.2248642,300,0.8398399949073792
1515659495.0664732,325,0.8530799746513367
1515659610.6574996,350,0.8424000144004822
1515659726.605134,375,0.8666399717330933
1515659899.0112574,400,0.8637999892234802
1515660014.7694285,425,0.8794400095939636
1515660130.3262882,450,0.8838800191879272
1515660246.5262067,475,0.8993600010871887
1515660362.5182362,500,0.9024400115013123
1515660534.7321477,525,0.9115200042724609
1515660650.0771842,550,0.9200400114059448
1515660766.2773323,575,0.9220399856567383
1515660882.231369,600,0.9286800026893616
1515660998.448329,625,0.9344800114631653
1515661170.8897862,650,0.938040018081665
1515661286.8524945,675,0.940280020236969
1515661402.572858,700,0.931439995765686
1515661518.1634662,725,0.8548399806022644
1515661633.873923,750,0.8708800077438354
1515661805.7809408,775,0.8980799913406372
1515661921.3806016,800,0.9186400175094604
1515662037.4355378,825,0.932919979095459
1515662153.3743613,850,0.940559983253479
1515662269.3365047,875,0.9531599879264832
1515662442.0268776,900,0.9568799734115601
1515662558.1395087,925,0.9613199830055237
1515662674.8280787,950,0.9675599932670593
1515662791.1384544,975,0.9681599736213684
1515662907.6991348,1000,0.967960000038147
1515663080.1019847,1025,0.9723600149154663
1515663196.3255308,1050,0.9774799942970276
1515663312.4633539,1075,0.9815199971199036
1515663428.165733,1100,0.9784799814224243
1515663544.4523623,1125,0.9815999865531921
1515663716.316786,1150,0.982479989528656
1515663832.2377503,1175,0.9852799773216248
1515663948.2357514,1200,0.9874399900436401
1515664064.1867259,1225,0.9813600182533264
1515664180.5661082,1250,0.9751200079917908
