Wall time,Step,Value
1515653434.440009,25,0.5534800291061401
1515653530.4307895,50,0.6059200167655945
1515653626.7117832,75,0.6294800043106079
1515653721.7076128,100,0.6599599719047546
1515653801.876983,125,0.680840015411377
1515653928.540661,150,0.6929200291633606
1515654008.6811652,175,0.701479971408844
1515654088.5646482,200,0.7130399942398071
1515654168.4144337,225,0.7298799753189087
1515654248.3325484,250,0.7359600067138672
1515654374.58728,275,0.7454000115394592
1515654454.7776747,300,0.7536799907684326
1515654534.5784366,325,0.7611200213432312
1515654614.23644,350,0.7671999931335449
1515654694.160966,375,0.7696800231933594
1515654820.2956316,400,0.7811999917030334
1515654900.2783391,425,0.7857199907302856
1515654980.1774065,450,0.7893999814987183
1515655060.4196386,475,0.7893199920654297
1515655140.5055926,500,0.7965999841690063
1515655266.5768332,525,0.8049200177192688
1515655346.6001291,550,0.8058800101280212
1515655426.6850095,575,0.8049600124359131
1515655506.6127996,600,0.8053600192070007
1515655586.5102277,625,0.8138800263404846
1515655713.1437461,650,0.8164399862289429
1515655793.2264373,675,0.8194000124931335
1515655873.2061205,700,0.8213199973106384
1515655953.5338106,725,0.8226000070571899
1515656033.3826494,750,0.8241599798202515
1515656159.6761863,775,0.8262400031089783
1515656239.738706,800,0.8203999996185303
1515656319.9555323,825,0.8273199796676636
1515656400.0634296,850,0.8342000246047974
1515656480.374819,875,0.8357200026512146
1515656606.8007715,900,0.8338000178337097
1515656686.655567,925,0.8388000130653381
1515656766.4699266,950,0.8372799754142761
1515656846.284837,975,0.835319995880127
1515656926.0902956,1000,0.8416000008583069
1515657052.034979,1025,0.8422799706459045
1515657132.0131836,1050,0.8437600135803223
1515657211.9359574,1075,0.840399980545044
1515657291.8422718,1100,0.8447200059890747
1515657372.0114212,1125,0.8439599871635437
1515657498.339273,1150,0.8447200059890747
1515657578.3502934,1175,0.8497599959373474
1515657658.4519749,1200,0.8503999710083008
1515657738.3657818,1225,0.8510000109672546
1515657818.4676933,1250,0.8503199815750122
