Wall time,Step,Value
1515649057.199743,25,0.5515199899673462
1515649134.214824,50,0.603600025177002
1515649211.7676172,75,0.6518800258636475
1515649290.262688,100,0.7294399738311768
1515649367.835374,125,0.7668799757957458
1515649492.79305,150,0.7822800278663635
1515649570.487761,175,0.7915599942207336
1515649647.5074453,200,0.8015599846839905
1515649725.246553,225,0.8108000159263611
1515649803.7673151,250,0.814079999923706
1515649928.1224322,275,0.8232399821281433
1515650005.4595268,300,0.83024001121521
1515650082.629344,325,0.829479992389679
1515650160.2537088,350,0.8384000062942505
1515650237.5958076,375,0.8418800234794617
1515650362.0315788,400,0.8426799774169922
1515650439.8193197,425,0.8487600088119507
1515650517.4297414,450,0.8508800268173218
1515650595.3008764,475,0.8532400131225586
1515650672.0724633,500,0.8570399880409241
1515650796.0670435,525,0.8596000075340271
1515650873.6304889,550,0.8596000075340271
1515650952.7950366,575,0.8652799725532532
1515651030.302461,600,0.8678399920463562
1515651107.0054793,625,0.866919994354248
1515651230.0056252,650,0.8641600012779236
1515651308.309452,675,0.8720399737358093
1515651386.1039708,700,0.8743199706077576
1515651464.0055814,725,0.8727999925613403
1515651542.7689974,750,0.8757200241088867
1515651667.1398005,775,0.8776400089263916
1515651744.5740857,800,0.8791999816894531
1515651822.2754233,825,0.8820400238037109
1515651899.6774445,850,0.8766800165176392
1515651977.4441104,875,0.8799600005149841
1515652101.806618,900,0.881879985332489
1515652178.4833844,925,0.8834800124168396
1515652256.6011717,950,0.8779199719429016
1515652334.4253933,975,0.8884400129318237
1515652412.022367,1000,0.8880400061607361
1515652536.3167062,1025,0.8870800137519836
1515652614.7151015,1050,0.8876000046730042
1515652692.4066036,1075,0.8920800089836121
1515652769.118006,1100,0.8916800022125244
1515652847.1216614,1125,0.8921200037002563
1515652971.5317636,1150,0.8941599726676941
1515653048.9411736,1175,0.8906000256538391
1515653126.1667292,1200,0.8949599862098694
1515653204.867422,1225,0.8957599997520447
1515653282.4598212,1250,0.8975200057029724
